Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name
,1.791114,7.266029,70,0,0.001,0,0,1780.6,3.0,0.423,200.0,0.5,5,24.432,4.528,24.884,24.432,24.884,4.528,24.884,24.432,12.642,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.5,0.2,0,0,0.0,0.9907,26,Kouffo,Aplahoué
,2.693325,6.935644,67,0,0.001,0,0,1705.4,3.0,0.146,200.0,0.5,5,18.951,6.401,22.232,18.951,22.232,6.401,22.232,18.951,2.73,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.54,0.2,0,0,0.0,1.1389,51,Plateau,Adja-Ouèrè
,1.971042,6.405453,49,20,0.001,50,0,1790.1,3.0,0.02,200.0,0.5,5,10.215,25.87,25.903,10.215,25.903,10.215,25.903,10.215,0.221,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.23,0.2623,1,12,27010.0,1.898,93,Atlantique,Kpomassè
,2.696571,10.004473,75,0,0.001,0,0,1982.2,3.0,0.127,200.0,0.5,5,18.757,0.18,19.871,18.757,19.871,0.18,19.871,18.757,0.671,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.639,0.2,0,0,0.0,1.3884,61,Borgou,Bembèrèkè
,3.358958,10.312407,101,0,0.001,0,0,2016.2,3.0,0.083,200.0,0.5,5,3.7,77.503,68.091,3.7,68.091,3.7,68.091,3.7,1.428,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.814,0.2,0,0,0.0,1.3884,67,Borgou,Kalalé
,1.643355,9.688468,184,0,0.001,0,0,1999.4,3.0,0.079,200.0,0.5,5,1.462,2.849,24.255,1.462,24.255,1.462,24.255,1.462,1.0,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.114,0.2354,0,0,0.0,0.9239,170,Donga,Djougou Urbain
,2.70183,7.072848,36,0,0.001,0,0,1704.6,3.0,0.269,200.0,0.5,5,7.092,5.39,37.413,7.092,37.413,5.39,37.413,7.092,6.076,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.618,0.2,0,0,0.0,1.1389,15,Plateau,Pobè
,2.750882,7.040025,93,0,0.001,0,0,1694.8,3.0,0.279,200.0,0.5,5,13.501,10.743,35.105,13.501,35.105,10.743,35.105,13.501,7.503,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.529,0.2,0,0,0.0,1.1389,76,Plateau,Pobè
,2.385593,10.320622,34,0,0.001,0,0,2028.2,3.0,0.066,200.0,0.5,5,1.707,32.47,32.468,1.707,32.468,1.707,32.468,1.707,0.324,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.339,0.2,0,0,0.0,1.1176,38,Borgou,Sinendé
,1.755833,9.233697,77,0,0.001,0,0,1942.0,3.0,0.684,200.0,0.5,5,49.189,35.626,23.573,49.189,23.573,35.626,23.573,49.189,20.126,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.515,0.2,0,0,0.0,1.1729,18,Donga,Bassila
,2.187596,7.85279,106,0,0.001,0,0,1804.3,3.0,0.194,200.0,0.5,5,6.187,0.547,75.961,6.187,75.961,0.547,75.961,6.187,0.934,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.269,0.2,0,0,0.0,1.0916,71,Collines,Dassa-Zoumè
,2.695728,9.229257,46,0,0.001,0,0,1888.0,3.0,0.284,200.0,0.5,5,15.91,14.91,13.493,15.91,13.493,14.91,13.493,15.91,13.131,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.537,0.2,0,0,730.0,1.3884,38,Borgou,Tchaourou
,2.645769,10.065135,106,0,0.001,0,0,1995.4,3.0,0.062,200.0,0.5,5,11.286,0.698,13.881,11.286,13.881,0.698,13.881,11.286,0.026,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.064,0.2,0,0,0.0,1.3884,58,Borgou,Bembèrèkè
,2.049206,6.727556,62,0,0.001,0,0,1720.0,3.0,0.328,200.0,0.5,5,7.094,4.55,4.33,7.094,4.33,4.55,4.33,7.094,1.28,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.766,0.2,0,0,0.0,2.0,40,Atlantique,Allada
,2.352748,7.299062,54,0,0.001,0,0,1755.0,3.0,0.221,200.0,0.5,5,33.578,5.404,37.311,33.578,37.311,5.404,37.311,33.578,8.646,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.281,0.2,0,0,0.0,1.3158,22,Zou,Zagnanado
,1.377918,9.503611,88,0,0.001,0,0,1975.3,3.0,0.137,200.0,0.5,5,33.77,19.957,0.0,33.77,0.0,19.957,0.0,33.77,1.246,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.516,0.2,0,0,0.0,1.1729,72,Donga,Ouaké
,2.905183,10.163873,121,0,0.001,0,0,1998.6,3.0,0.112,200.0,0.5,5,27.112,27.162,21.312,27.112,21.312,27.112,21.312,27.112,1.204,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.249,0.2,0,0,0.0,1.3884,80,Borgou,Bembèrèkè
,2.739776,6.894123,111,0,0.001,0,0,1703.9,3.0,0.314,200.0,0.5,5,19.796,12.798,19.7,19.796,19.7,12.798,19.7,19.796,7.207,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.095,0.2,0,0,0.0,1.1389,52,Plateau,Sakété
,1.879206,7.514526,57,0,0.001,0,0,1801.0,3.0,0.494,200.0,0.5,5,42.354,21.107,40.271,42.354,40.271,21.107,40.271,42.354,9.333,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.3575,0.2,0,0,0.0,1.3158,22,Zou,Djidja
,2.9295,11.217884,281,0,0.001,0,0,2064.0,3.0,0.235,200.0,0.5,5,10.319,115.852,5.93,10.319,5.93,10.319,5.93,10.319,3.955,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.662,0.2,0,0,0.0,1.053,136,Alibori,Kandi
